Data,Valor
2021-06-20,109.9
2021-06-20,108.9
2021-06-21,109.18
2021-06-22,108.9
2021-06-22,109.9
2021-06-23,108.9
2021-06-24,109.9
2021-06-24,108.9
2021-06-25,109.9
2021-06-25,108.9
2021-06-25,109.9
2021-06-26,108.9
2021-06-27,109.9
2021-06-27,108.9
2021-06-27,109.9
2021-06-28,108.9
2021-06-28,109.9
2021-06-29,108.9
2021-06-29,103.99
2021-07-01,108.9
2021-07-01,105.51
2021-07-01,108.9
2021-07-05,100.61
2021-07-05,102.53
2021-07-06,97.89
2021-07-06,96.99
2021-07-07,96.21
2021-07-11,102.53
2021-07-11,108.35
2021-07-12,108.9
2021-07-12,107.9
2021-07-13,108.9
2021-07-13,97.69
2021-07-13,104.79
2021-07-15,97.69
2021-07-15,105.72
2021-07-15,104.79
2021-07-16,98.99
2021-07-19,93.99
2021-07-21,92.44
2021-07-21,93.99
2021-07-22,92.44
2021-07-22,93.99
2021-07-23,92.44
2021-07-23,93.99
2021-07-26,99.99
2021-07-27,97.69
2021-07-27,99.99
2021-07-29,97.69
2021-07-29,99.99
2021-08-02,98.9
2021-08-02,97.68
2021-08-02,96.88
2021-08-02,92.51
2021-08-04,91.99
2021-08-05,90.48
2021-08-09,83.99
2021-08-10,81.92
2021-08-11,81.74
2021-08-12,83.57
2021-08-12,88.84
2021-08-13,85.35
2021-08-13,84.57
2021-08-13,88.84
2021-08-15,93.41
2021-08-15,92.15
2021-08-15,90.62
2021-08-15,89.9
2021-08-15,89
2021-08-15,88.84
2021-08-16,93.68
2021-08-16,93.14
2021-08-16,92.06
2021-08-16,90.62
2021-08-16,89.18
2021-08-16,88.84
2021-08-17,84.69
2021-08-18,84.25
2021-08-18,88.84
2021-08-18,94.2
2021-08-22,88.84
2021-08-22,94.2
2021-08-23,94.29
2021-08-24,93.52
2021-08-25,74.99
2021-08-25,88.29
2021-08-26,83.99
2021-08-30,82.19
2021-08-30,78.99
2021-08-30,74.9
2021-08-30,78.99
2021-09-02,74.85
2021-09-02,82.19
2021-09-03,81.99
2021-09-03,83.19
2021-09-04,89.36
2021-09-04,87.83
2021-09-04,86.39
2021-09-04,84.77
2021-09-04,84.68
2021-09-04,84.23
2021-09-04,83.19
2021-09-05,89.18
2021-09-05,87.65
2021-09-05,86.12
2021-09-05,84.5
2021-09-05,69.99
2021-09-05,83.19
2021-09-06,89.9
2021-09-06,89.18
2021-09-06,88.01
2021-09-06,86.12
2021-09-06,85.31
2021-09-06,84.41
2021-09-07,83.33
2021-09-07,83.19
2021-09-07,77.99
2021-09-07,82.99
2021-09-07,78.79
2021-09-07,88.84
2021-09-08,89.99
2021-09-08,89.9
2021-09-08,89.09
2021-09-09,89.9
2021-09-09,81.03
2021-09-10,69.99
2021-09-10,81.02
2021-09-13,80.84
2021-09-13,80.83
2021-09-13,81.37
2021-09-14,80.84
2021-09-14,80.83
2021-09-14,80.68
2021-09-15,80.67
2021-09-15,80.56
2021-09-16,80.57
2021-09-16,80.56
2021-09-16,80.44
2021-09-17,76.1
2021-09-17,76.09
2021-09-17,76.02
2021-09-18,76.03
2021-09-19,76.02
2021-09-19,82.44
2021-09-20,80.21
2021-09-20,83.99
2021-09-21,80.21
2021-09-21,83.99
2021-09-21,80.21
2021-09-21,83.99
2021-09-22,80.21
2021-09-22,83.99
2021-09-23,80.21
2021-09-23,83.99
2021-09-24,80.21
2021-09-24,83.99
2021-09-26,69.99
2021-09-26,83.99
2021-09-27,86.21
2021-09-27,76.65
2021-09-27,76.66
2021-09-28,76.64
2021-09-28,76.66
2021-09-29,67.99
2021-10-05,74.99
2021-10-06,70.99
2021-10-12,67.99
2021-10-13,64.99
2021-10-18,74.99
2021-10-18,85.89
2021-10-19,74.99
2021-10-19,85.89
2021-10-20,83.06
2021-10-20,85.89
2021-10-21,83.06
2021-10-21,83.05
2021-10-22,83.06
2021-10-22,83.05
2021-10-23,83.23
2021-10-23,84.98
2021-10-23,86.16
2021-10-24,72.99
2021-10-27,64.99
2021-11-01,68.99
2021-11-08,64.99
2021-11-15,68.99
2021-11-22,67.99
2021-11-22,59.99
2021-11-30,68.99
2021-12-01,64
